Movie Number,Movie Title,Movie Url,Date,Length,Genre,IMDb Rating,Filtered Genre,year,Int Length
7409,Salaam Bombay!,http://www.imdb.com/title/tt0096028/,7 October 1988,1h 53min,"['Crime', 'Drama']",8.0,Crime,1988.0,113
7432,Another Woman,http://www.imdb.com/title/tt0094663/,18 November 1988,1h 21min,['Drama'],7.4,Drama,1988.0,81
7449,The Dead,http://www.imdb.com/title/tt0092843/,18 December 1987,1h 23min,['Drama'],7.4,Drama,1987.0,83
7462,Posse,http://www.imdb.com/title/tt0107863/,14 May 1993,1h 51min,['Western'],5.4,Undefined,1993.0,111
7464,Kissed,http://www.imdb.com/title/tt0116783/,11 April 1997,1h 18min,"['Drama', 'Romance']",6.5,Romance,1997.0,78
7466,Ski School,http://www.imdb.com/title/tt0102940/,11 January 1991,1h 35min,['Comedy'],5.1,Comedy,1991.0,95
7468,10 to Midnight,http://www.imdb.com/title/tt0085121/,11 March 1983,1h 41min,"['Crime', 'Drama', 'Thriller']",6.3,Crime,1983.0,101
7473,Shout at the Devil,http://www.imdb.com/title/tt0075214/,1976,2h 30min,"['Action', 'Adventure', 'Comedy']",6.3,Comedy,1976.0,150
7476,Lambada,http://www.imdb.com/title/tt0099969/,16 March 1990,1h 44min,['Drama'],3.2,Drama,1990.0,104
7503,Squirm,http://www.imdb.com/title/tt0075261/,30 July 1976,1h 32min,['Horror'],4.5,Horror,1976.0,92
7505,Deranged: Confessions of a Necrophile,http://www.imdb.com/title/tt0071408/,1974,1h 24min,"['Drama', 'Horror', 'Thriller']",6.5,Horror,1974.0,84
7512,Dinner Rush,http://www.imdb.com/title/tt0229340/,29 March 2002,1h 39min,"['Crime', 'Drama', 'Romance']",7.3,Romance,2002.0,99
7516,Wish You Were Here,http://www.imdb.com/title/tt0094331/,24 July 1987,1h 28min,"['Comedy', 'Drama']",6.8,Comedy,1987.0,88
7536,Pushing Hands,http://www.imdb.com/title/tt0105652/,20 January 1996,1h 45min,"['Comedy', 'Drama']",7.3,Comedy,1996.0,105
7555,Shatterbrain,http://www.imdb.com/title/tt0105242/,26 March 1993,1h 48min,"['Fantasy', 'Horror']",6.4,Sci-Fi/Fantasy,1993.0,108
7566,Heavy Traffic,http://www.imdb.com/title/tt0070165/,17 November 1973,1h 17min,"['Animation', 'Comedy', 'Drama']",6.7,Comedy,1973.0,77
7588,The Water Babies,http://www.imdb.com/title/tt0078477/,1978,1h 32min,"['Animation', 'Adventure', 'Family']",6.1,Action/Adventure,1978.0,92
7589,Tentacles,http://www.imdb.com/title/tt0076809/,15 June 1977,1h 42min,"['Horror', 'Sci-Fi', 'Thriller']",3.5,Sci-Fi/Fantasy,1977.0,102
7617,Harry in Your Pocket,http://www.imdb.com/title/tt0070158/,18 October 1973,1h 43min,"['Comedy', 'Crime', 'Drama']",6.4,Comedy,1973.0,103
